CIRC_PATH_INST_ID,SEQUENCE,CONNECT_TYPE,ELEMENT_TYPE,PORT_INST_ID,ELEMENT_INST_ID
8984448,6,T,E,275506653,71755428
8984448,8,T,E,267603771,71755430
8984448,12,T,E,278868790,71755434
8984448,14,T,E,272580715,71755436
8984448,9,T,E,267603770,71755431
8984448,11,T,E,278868789,71755433
8991059,5,T,E,275667536,71784701
8991059,1,T,E,276606872,71784697
8991059,3,T,E,276608023,71784699
8991059,8,T,E,285158056,71784704
8991059,4,T,E,276608167,71784700
8991059,6,T,E,275667680,71784702
